assignment_id,week_id,week_start,week_end,nT,rotation_group,rotation_round,pharmacy_id,location_id,shift_type,access_mode,schedule_source
O000198,2026-W12,2026-03-16,2026-03-23,5,5,1,P0072,L0072,STANDARD,P,optimized_fairness_aware
O000199,2026-W12,2026-03-16,2026-03-23,5,5,1,P0073,L0073,STANDARD,P,optimized_fairness_aware
O000200,2026-W12,2026-03-16,2026-03-23,5,5,1,P0074,L0074,STANDARD,P,optimized_fairness_aware
O000201,2026-W12,2026-03-16,2026-03-23,5,5,1,P0075,L0075,STANDARD,P,optimized_fairness_aware
O000202,2026-W12,2026-03-16,2026-03-23,5,5,1,P0076,L0076,STANDARD,P,optimized_fairness_aware
O000203,2026-W12,2026-03-16,2026-03-23,5,5,1,P0078,L0078,STANDARD,P,optimized_fairness_aware
O000204,2026-W12,2026-03-16,2026-03-23,5,5,1,P0079,L0079,STANDARD,P,optimized_fairness_aware
O000205,2026-W12,2026-03-16,2026-03-23,5,5,1,P0080,L0080,STANDARD,P,optimized_fairness_aware
O000206,2026-W12,2026-03-16,2026-03-23,5,5,1,P0081,L0081,STANDARD,P,optimized_fairness_aware
O000207,2026-W12,2026-03-16,2026-03-23,5,5,1,P0082,L0082,STANDARD,P,optimized_fairness_aware
O000208,2026-W12,2026-03-16,2026-03-23,5,5,1,P0083,L0083,STANDARD,P,optimized_fairness_aware
O000209,2026-W12,2026-03-16,2026-03-23,5,5,1,P0085,L0085,STANDARD,P,optimized_fairness_aware
O000210,2026-W12,2026-03-16,2026-03-23,5,5,1,P0086,L0086,STANDARD,P,optimized_fairness_aware
O000211,2026-W12,2026-03-16,2026-03-23,5,5,1,P0087,L0087,STANDARD,P,optimized_fairness_aware
O000212,2026-W13,2026-03-23,2026-03-30,6,6,1,P0098,L0098,H24,P,optimized_fairness_aware
O000213,2026-W13,2026-03-23,2026-03-30,6,6,1,P0100,L0100,H24,P,optimized_fairness_aware
O000214,2026-W13,2026-03-23,2026-03-30,6,6,1,P0101,L0101,H24,P,optimized_fairness_aware
O000215,2026-W13,2026-03-23,2026-03-30,6,6,1,P0089,L0089,STANDARD,P,optimized_fairness_aware
O000216,2026-W13,2026-03-23,2026-03-30,6,6,1,P0090,L0090,STANDARD,P,optimized_fairness_aware
O000217,2026-W13,2026-03-23,2026-03-30,6,6,1,P0091,L0091,STANDARD,P,optimized_fairness_aware
O000218,2026-W13,2026-03-23,2026-03-30,6,6,1,P0092,L0092,STANDARD,P,optimized_fairness_aware
O000219,2026-W13,2026-03-23,2026-03-30,6,6,1,P0093,L0093,STANDARD,P,optimized_fairness_aware
O000220,2026-W13,2026-03-23,2026-03-30,6,6,1,P0094,L0094,STANDARD,P,optimized_fairness_aware
O000221,2026-W13,2026-03-23,2026-03-30,6,6,1,P0095,L0095,STANDARD,P,optimized_fairness_aware
O000222,2026-W13,2026-03-23,2026-03-30,6,6,1,P0096,L0096,STANDARD,P,optimized_fairness_aware
O000223,2026-W13,2026-03-23,2026-03-30,6,6,1,P0097,L0097,STANDARD,P,optimized_fairness_aware
O000224,2026-W13,2026-03-23,2026-03-30,6,6,1,P0099,L0099,STANDARD,P,optimized_fairness_aware
O000225,2026-W13,2026-03-23,2026-03-30,6,6,1,P0102,L0102,STANDARD,P,optimized_fairness_aware
O000226,2026-W13,2026-03-23,2026-03-30,6,6,1,P0103,L0103,STANDARD,P,optimized_fairness_aware
O000227,2026-W13,2026-03-23,2026-03-30,6,6,1,P0104,L0104,STANDARD,P,optimized_fairness_aware
O000228,2026-W13,2026-03-23,2026-03-30,6,6,1,P0105,L0105,STANDARD,P,optimized_fairness_aware
O000229,2026-W13,2026-03-23,2026-03-30,6,6,1,P0106,L0106,STANDARD,P,optimized_fairness_aware
O000230,2026-W14,2026-03-30,2026-04-06,7,7,1,P0110,L0110,H24,P,optimized_fairness_aware
